Label,ID,Track ID,Quality,Position X ,Position Y,Position Z,Position T,Frame,Radius,Visibility,Manual Colour,Mean intensity,Median intensity ,Min Intensity,Max intensity,Total intensity,StD,Estimated diameter,Contrast,SNR
ID227715,227715,0,1.932,159.793,52.539,0,0,0,15,1,-10921639,3333.37,3316,2486,5881,4376715,264.568,8.352,0.007,0.174
ID227744,227744,0,1.903,159.535,52.177,0,480.017,1,15,1,-10921639,3301.114,3286,2782,5167,4334363,239.713,57,0.009,0.233
ID227826,227826,0,1.872,159.875,53.308,0,960.034,2,15,1,-10921639,3293.672,3277,2696,5571,4324591,244.909,51.374,0.007,0.193
ID228089,228089,0,1.879,158.501,52.755,0,1440.051,3,15,1,-10921639,3293.604,3279,2750,4887,4324502,220.77,6,0.007,0.204
ID227770,227770,0,1.978,159.773,55.49,0,1920.068,4,15,1,-10921639,3281.542,3258,2693,5347,4308665,249.317,53.3,0.009,0.223
ID227883,227883,0,1.864,158.604,54.416,0,2400.085,5,15,1,-10921639,3264.999,3246,2736,5547,4286944,244.187,57,0.008,0.213
ID227855,227855,0,1.875,159.725,54.481,0,2880.102,6,15,1,-10921639,3250.775,3227,2739,5327,4268267,239.942,57,0.008,0.225
ID228029,228029,0,1.974,159.138,54.843,0,3360.119,7,15,1,-10921639,3275.634,3255,2694,5349,4300908,239.372,57,0.008,0.222
ID227968,227968,0,1.869,159.501,56.134,0,3840.136,8,15,1,-10921639,3244.207,3234,2694,4744,4259644,222.13,44.7,0.008,0.235
ID227910,227910,0,1.823,159.581,55.296,0,4320.153,9,15,1,-10921639,3244.439,3230,2676,5249,4259949,232.744,57,0.007,0.189
ID227795,227795,0,1.93,158.482,56.309,0,4800.17,10,15,1,-10921639,3240.107,3213,2714,4611,4254260,227.636,57,0.009,0.243
ID227944,227944,0,1.81,159.542,56.221,0,5280.187,11,15,1,-10921639,3250.979,3233,2650,5012,4268536,233.926,57,0.007,0.196
ID228000,228000,0,1.833,160.18,55.825,0,5760.204,12,15,1,-10921639,3240.35,3224,2758,5032,4254579,226.157,55.091,0.008,0.236
ID228233,228233,0,1.763,160.406,55.619,0,6240.221,13,15,1,-10921639,3217.563,3203,2720,4581,4224660,221.178,42.365,0.007,0.194
ID228175,228175,0,1.872,159.566,55.304,0,6720.238,14,15,1,-10921639,3248.117,3228,2795,4963,4264777,226.619,6,0.008,0.216
ID228058,228058,0,1.9,160.455,56.255,0,7200.255,15,15,1,-10921639,3236.478,3214,2731,4845,4249496,228.963,57,0.007,0.197
ID228117,228117,0,1.95,159.272,56.6,0,7680.272,16,15,1,-10921639,3246.958,3231,2702,4684,4263256,219.617,57,0.01,0.303
ID228259,228259,0,1.759,159.872,56.738,0,8160.289,17,15,1,-10921639,3219.022,3201,2601,5082,4226576,220.695,54.448,0.007,0.201
ID228143,228143,0,1.76,159.547,56.172,0,8640.306,18,15,1,-10921639,3213.514,3193,2601,5357,4219344,237.944,6,0.006,0.167
ID228206,228206,0,1.948,159.552,56.406,0,9120.323,19,15,1,-10921639,3220.644,3198,2638,4925,4228705,241.963,44.873,0.009,0.227
ID228286,228286,0,1.84,162.362,55.426,0,9600.34,20,15,1,-10921639,3231.538,3223,2664,5245,4243010,246.489,7.866,0.007,0.195
ID228360,228360,0,1.763,160.362,55.782,0,10080.357,21,15,1,-10921639,3197.796,3187,2672,5240,4198706,229.819,51.487,0.007,0.188
ID228312,228312,0,1.715,160.871,56.017,0,10560.374,22,15,1,-10921639,3216.947,3206,2556,4757,4223851,221.271,41.605,0.007,0.19
ID228439,228439,0,1.638,159.533,55.135,0,11040.391,23,15,1,-10921639,3193.967,3180,2621,4477,4193679,218.84,57,0.005,0.14
ID228383,228383,0,1.501,158.799,0,0,11520.408,24,15,1,-10921639,2093.129,3099,0,3791,2748279,1521.485,9.187,0.082,0.209
ID228488,228488,0,1.5,154.388,0,0,12000.425,25,15,1,-10921639,2081.788,3079,0,3934,2733387,1512.414,9.09,0.084,0.212
ID227714,227714,1,4.819,1113.992,29.636,0,0,0,15,1,-10921639,2906.695,2858,2167,3806,3816490,322.585,16.931,0.065,1.108
ID227743,227743,1,4.519,1113.608,29.537,0,480.017,1,15,1,-10921639,2858.471,2812,2206,3764,3753173,296.207,17.387,0.064,1.163
ID227825,227825,1,4.411,1113.731,29.412,0,960.034,2,15,1,-10921639,2843.861,2787,2127,3647,3733989,309.435,15.213,0.06,1.046
ID228088,228088,1,4.498,1114.345,30.497,0,1440.051,3,15,1,-10921639,2861.794,2818,2043,3775,3757536,314.419,15.607,0.062,1.058
ID227769,227769,1,4.312,1115.747,32.269,0,1920.068,4,15,1,-10921639,2819.244,2780,2000,3609,3701668,308.675,14.005,0.058,1.004
ID227881,227881,1,4.277,1115.019,30.504,0,2400.085,5,15,1,-10921639,2815.98,2778,2135,3646,3697382,289.505,16.904,0.058,1.071
ID227854,227854,1,4.129,1113.837,27.794,0,2880.102,6,15,1,-10921639,2788.902,2746,2197,3612,3661828,269.251,13.314,0.058,1.138
ID228028,228028,1,4.034,1114.772,31.098,0,3360.119,7,15,1,-10921639,2798.297,2768,1975,3617,3674164,272.407,16.795,0.055,1.075
ID227967,227967,1,3.767,1116.13,31.292,0,3840.136,8,15,1,-10921639,2753.992,2740,2178,3549,3615992,260.82,15.936,0.051,1.024
ID227909,227909,1,3.818,1116.485,30.046,0,4320.153,9,15,1,-10921639,2760.012,2741,2143,3434,3623896,266.894,57,0.052,1.017
ID227794,227794,1,3.821,1116.583,26.944,0,4800.17,10,15,1,-10921639,2748.311,2706,2107,3581,3608532,273.538,57,0.053,1.017
ID227943,227943,1,3.596,1117.26,25.455,0,5280.187,11,15,1,-10921639,2731.14,2706,2083,3504,3585987,274.675,57,0.051,0.967
ID227998,227998,1,3.549,1118.972,24.867,0,5760.204,12,15,1,-10921639,2739.046,2727,2088,3418,3596367,241.848,57,0.058,1.249
ID228232,228232,1,3.579,1119.892,26.618,0,6240.221,13,15,1,-10921639,2717.871,2707,2012,3457,3568564,254.123,57,0.052,1.054
ID228174,228174,1,3.516,1119.916,24.031,0,6720.238,14,15,1,-10921639,2728.005,2712,2082,3390,3581870,249.425,57,0.06,1.244
ID228056,228056,1,3.426,1120.298,23.046,0,7200.255,15,15,1,-10921639,2697.679,2669,2050,3477,3542053,252.341,55.294,0.067,1.349
ID228116,228116,1,3.258,1120.567,26.002,0,7680.272,16,15,1,-10921639,2700.678,2683,2139,3504,3545990,236.447,57,0.048,1.051
ID228258,228258,1,3.257,1120.708,25.131,0,8160.289,17,15,1,-10921639,2691.817,2673,2107,3421,3534356,238.089,57,0.051,1.106
ID228142,228142,1,3.218,1120.302,19.416,0,8640.306,18,15,1,-10921639,2701.11,2690,2150,3370,3546558,233.474,45.665,0.1,2.107
ID228205,228205,1,3.404,1116.665,32.619,0,9120.323,19,15,1,-10921639,2715.242,2697,2148,3444,3565113,232.293,17.756,0.046,1.038
ID228285,228285,1,3.234,1118.669,33.747,0,9600.34,20,15,1,-10921639,2691.547,2682,2080,3291,3534001,223.656,14.952,0.044,1.018
ID228359,228359,1,3.185,1119.026,35.731,0,10080.357,21,15,1,-10921639,2681.514,2672,2080,3324,3520828,227.575,50.778,0.043,0.969
ID228311,228311,1,3.254,1119.812,34.904,0,10560.374,22,15,1,-10921639,2695.365,2674,2164,3467,3539014,232.91,15.821,0.044,0.975
ID228438,228438,1,3.29,1118.545,37.38,0,11040.391,23,15,1,-10921639,2683.197,2649,2097,3429,3523038,254.447,18.087,0.042,0.848
ID228385,228385,1,3.388,1116.344,38.712,0,11520.408,24,15,1,-10921639,2706.923,2678,2169,3480,3554190,240.407,13.211,0.046,0.983
ID228492,228492,1,3.442,1114.48,41.427,0,12000.425,25,15,1,-10921639,2704.13,2673,2076,3579,3550523,267.589,12.955,0.043,0.839
ID228465,228465,1,3.248,1115.133,41.576,0,12480.442,26,15,1,-10921639,2692.423,2665,1982,3336,3535152,228.4,12.902,0.043,0.982
ID228334,228334,1,3.062,1115.431,45.241,0,12960.459,27,15,1,-10921639,2676.05,2666,2114,3382,3513654,229.436,57,0.041,0.909
ID228413,228413,1,3.173,1110.055,66.236,0,13440.476,28,15,1,-10921639,2681.007,2657,2041,3407,3520162,248.59,12.157,0.039,0.808
ID228523,228523,1,3.201,1102.815,66.351,0,13920.493,29,15,1,-10921639,2714.396,2701,2176,3452,3564002,228.688,15.86,0.042,0.964
