Label,ID,Track ID,Quality,Position X ,Position Y,Position Z,Position T,Frame,Radius,Visibility,Manual Colour,Mean intensity,Median intensity ,Min Intensity,Max intensity,Total intensity,StD,Estimated diameter,Contrast,SNR
ID66945,66945,0,50.067,478.216,723.875,0,0,0,15,1,-10921639,7063.853,6032,2576,14496,9274839,3461.137,15.799,0.454,1.275
ID67162,67162,0,48.256,479.255,721.966,0,480.035,1,15,1,-10921639,6959.631,6085,2554,13383,9137996,3164.228,16.533,0.449,1.364
ID66969,66969,0,48.089,478.255,720.415,0,960.07,2,15,1,-10921639,6897.824,5991,2562,13584,9056843,3206.389,16.215,0.447,1.33
ID67089,67089,0,47.869,477.786,720.254,0,1440.105,3,15,1,-10921639,6889.409,5912,2545,13636,9045794,3204.648,16.122,0.446,1.326
ID67257,67257,0,47.156,480.051,719.646,0,1920.14,4,15,1,-10921639,6816.986,5928,2672,13819,8950703,3170.208,16.084,0.441,1.317
ID67065,67065,0,47.19,481.131,719.485,0,2400.175,5,15,1,-10921639,6844.548,5997,2516,13885,8986891,3182.492,16.014,0.441,1.317
ID67209,67209,0,46.483,480.105,719.73,0,2880.21,6,15,1,-10921639,6799.433,5824,2570,13516,8927655,3135.07,16.451,0.438,1.322
ID67041,67041,0,45.876,481.737,719.389,0,3360.245,7,15,1,-10921639,6771.702,6005,2563,13479,8891245,3111.803,16.346,0.436,1.321
ID67185,67185,0,45.547,482.154,720.05,0,3840.28,8,15,1,-10921639,6749.059,6022,2568,13188,8861515,3032.381,16.605,0.436,1.352
ID66993,66993,0,45.634,481.85,720.282,0,4320.315,9,15,1,-10921639,6785.324,6058,2296,13499,8909131,3031.076,16.182,0.437,1.361
ID66874,66874,0,45.223,480.094,720.552,0,4800.35,10,15,1,-10921639,6747.556,6055,2521,13082,8859541,3015.37,16.433,0.434,1.354
ID66921,66921,0,44.776,477.732,720.752,0,5280.385,11,15,1,-10921639,6724.711,6088,2504,12928,8829545,2986.223,16.852,0.432,1.359
ID67282,67282,0,44.9,479.021,720.19,0,5760.42,12,15,1,-10921639,6715.065,5949,2479,13125,8816880,3001.159,16.477,0.433,1.352
ID67017,67017,0,45.962,479.76,719.844,0,6240.455,13,15,1,-10921639,6784.72,5973,2540,13481,8908338,3068.619,16.495,0.437,1.345
ID66898,66898,0,46.529,476.234,719.632,0,6720.49,14,15,1,-10921639,6796.385,5965,2646,13249,8923653,3102.989,16.077,0.44,1.339
ID67330,67330,0,46.131,468.516,718.57,0,7200.525,15,15,1,-10921639,6767.959,5978,2465,13145,8886330,2992.57,16.546,0.442,1.387
ID67138,67138,0,45.579,466.226,715.689,0,7680.56,16,15,1,-10921639,6795.962,6133,2589,12520,8923098,2866.947,17.005,0.438,1.445
ID67307,67307,0,48.481,466.423,711.118,0,8160.595,17,15,1,-10921639,6878.692,5804,2427,14792,9031723,3329.426,15.531,0.444,1.27
ID67234,67234,0,48.722,469.084,708.368,0,8640.63,18,15,1,-10921639,6923.797,5820,2729,15055,9090945,3302.723,15.825,0.445,1.291
ID67114,67114,0,46.548,468.842,706.403,0,9120.665,19,15,1,-10921639,6860.859,6052,2784,13543,9008308,3031.677,16.875,0.439,1.381
ID67379,67379,0,45.536,468.342,704.815,0,9600.7,20,15,1,-10921639,6856.487,6156,2755,13265,9002568,2864.166,17.142,0.438,1.458
ID67451,67451,0,45.48,469.567,703.078,0,10080.735,21,15,1,-10921639,6891.088,6311,2728,12898,9047999,2865.121,16.86,0.437,1.462
ID67355,67355,0,45.365,466.484,703.128,0,10560.77,22,15,1,-10921639,6900.44,6362,2723,12634,9060278,2838.799,17.117,0.437,1.479
ID67427,67427,0,45.788,461.508,704.706,0,11040.805,23,15,1,-10921639,6946.104,6323,2607,12695,9120235,2878.386,17.181,0.441,1.478
ID67403,67403,0,45.033,456.599,706.067,0,11520.84,24,15,1,-10921639,6844.915,6138,2547,12980,8987374,2952.681,16.964,0.437,1.411
ID67475,67475,0,44.911,457.889,704.432,0,12000.875,25,15,1,-10921639,6832.323,6136,2612,13142,8970840,2896.718,17.18,0.437,1.435
ID67499,67499,0,45.265,458.359,702.423,0,12480.91,26,15,1,-10921639,6891.835,6412,2866,12157,9048979,2752.211,17.126,0.442,1.534
ID67547,67547,0,44.907,458.039,700.161,0,12960.945,27,15,1,-10921639,6859.299,6327,2786,12517,9006260,2691.49,17.241,0.439,1.555
ID67523,67523,0,44.62,456.245,699.591,0,13440.98,28,15,1,-10921639,6817.485,6295,2740,12522,8951358,2730.539,17.107,0.437,1.519
ID67619,67619,0,44.217,454.011,699.171,0,13921.015,29,15,1,-10921639,6759.522,6308,2691,12501,8875253,2720.37,17.15,0.437,1.511
ID67571,67571,0,44.733,452.308,698.38,0,14401.05,30,15,1,-10921639,6758.963,6220,2576,12801,8874518,2834.69,16.913,0.437,1.449
ID67643,67643,0,45.113,453.537,697.763,0,14881.085,31,15,1,-10921639,6781.308,6194,2642,13308,8903858,2904.513,16.935,0.437,1.42
ID67595,67595,0,45.461,455.179,697.641,0,15361.12,32,15,1,-10921639,6782.246,6088,2564,12973,8905089,2954.082,16.615,0.439,1.401
ID67740,67740,0,45.229,455.88,697.512,0,15841.155,33,15,1,-10921639,6798.701,6162,2465,13425,8926695,2982.577,16.757,0.438,1.388
ID67667,67667,0,45.653,457.469,697.24,0,16321.19,34,15,1,-10921639,6827.416,6215,2547,13230,8964397,2996.265,16.672,0.44,1.392
ID67691,67691,0,45.64,460.921,697.307,0,16801.225,35,15,1,-10921639,6882.351,6379,2586,12849,9036527,2825.442,16.957,0.444,1.498
ID67765,67765,0,45.42,462.903,696.98,0,17281.26,36,15,1,-10921639,6925.641,6529,2627,12738,9093366,2744.367,17.061,0.444,1.553
ID67715,67715,0,46.392,462.291,697.616,0,17761.295,37,15,1,-10921639,6982.33,6420,2827,12855,9167799,2786.287,17.294,0.449,1.553
ID67789,67789,0,46.43,461.184,698.577,0,18241.33,38,15,1,-10921639,7003.35,6550,2934,12571,9195398,2779.593,17.156,0.449,1.561
ID67813,67813,0,46.155,461.024,698.074,0,18721.365,39,15,1,-10921639,7011.938,6635,2836,12408,9206674,2707.884,17.351,0.45,1.608
ID67837,67837,0,46.948,460.725,697.757,0,19201.4,40,15,1,-10921639,7055.765,6643,2705,12836,9264220,2792.823,17.348,0.454,1.578
ID67861,67861,0,47.604,460.064,697.298,0,19681.435,41,15,1,-10921639,7105.422,6681,2591,12855,9329419,2840.919,17.251,0.457,1.569
ID67886,67886,0,48.329,459.669,696.932,0,20161.47,42,15,1,-10921639,7106.715,6450,2580,13241,9331117,2954.928,17.144,0.456,1.507
ID67910,67910,0,48.232,459.568,695.681,0,20641.505,43,15,1,-10921639,7141.322,6612,2713,13283,9376556,2978.982,17.058,0.455,1.499
ID67935,67935,0,49.125,459.175,693.991,0,21121.54,44,15,1,-10921639,7193.824,6442,2703,13936,9445491,3118.981,17.008,0.457,1.447
ID67959,67959,0,48.813,457.499,692.724,0,21601.575,45,15,1,-10921639,7135.113,6489,2332,14100,9368404,3170.148,16.681,0.456,1.411
ID67985,67985,0,49.379,454.872,693.114,0,22081.61,46,15,1,-10921639,7197.698,6567,2673,13965,9450577,3208.029,16.725,0.46,1.414
ID68010,68010,0,49.841,451.761,694.955,0,22561.645,47,15,1,-10921639,7165.54,6357,2564,14385,9408354,3296.392,16.272,0.462,1.373
ID68035,68035,0,50.548,452.522,694.812,0,23041.68,48,15,1,-10921639,7267.783,6577,2770,14426,9542599,3201.577,16.697,0.469,1.449
ID68059,68059,0,49.654,451.59,694.98,0,23521.715,49,15,1,-10921639,7199.312,6533,2579,14003,9452697,3142.135,16.899,0.467,1.459
ID68109,68109,0,49.8,449.959,696.095,0,24001.75,50,15,1,-10921639,7194,6418,2547,13844,9445722,3226.923,16.702,0.466,1.416
ID68084,68084,0,50.002,448.923,696.234,0,24481.785,51,15,1,-10921639,7206.975,6475,2641,14380,9462758,3307.297,16.736,0.465,1.383
ID68133,68133,0,49.857,449.219,696.229,0,24961.82,52,15,1,-10921639,7176.062,6523,2592,14365,9422169,3322.195,16.686,0.464,1.368
ID68185,68185,0,48.883,449.157,697.034,0,25441.855,53,15,1,-10921639,7194.139,6698,2652,13412,9445904,3142.112,16.844,0.464,1.45
ID68238,68238,0,48.095,449.346,697.887,0,25921.89,54,15,1,-10921639,7178.341,6713,2547,12943,9425162,3086.02,17.05,0.462,1.471
ID68159,68159,0,48.229,449.75,698.255,0,26401.925,55,15,1,-10921639,7204.576,6770,2536,12839,9459608,3078.742,17.334,0.464,1.482
ID68318,68318,0,48.797,451.749,697.173,0,26881.96,56,15,1,-10921639,7234.865,6695,2363,13679,9499378,3140.865,17.085,0.466,1.464
ID68211,68211,0,49.482,458.641,692.959,0,27361.995,57,15,1,-10921639,7325.672,6854,2506,13723,9618607,3185.266,17.204,0.467,1.464
ID68264,68264,0,48.598,457.679,692.898,0,27842.03,58,15,1,-10921639,7290.648,6874,2648,13283,9572621,3011.419,17.256,0.464,1.536
ID68291,68291,0,48.193,456.581,693.741,0,28322.065,59,15,1,-10921639,7290.756,7022,2779,13056,9572763,2882.205,17.593,0.465,1.607
ID68421,68421,0,48.565,456.22,694.001,0,28802.1,60,15,1,-10921639,7311.976,6996,2748,13253,9600624,2906.829,17.441,0.468,1.603
ID68447,68447,0,48.974,455.7,695.459,0,29282.135,61,15,1,-10921639,7312.448,6971,2599,13777,9601244,2999.533,17.484,0.469,1.556
ID68343,68343,0,49.258,456.16,696.117,0,29762.17,62,15,1,-10921639,7333.116,6995,2464,13511,9628381,3082.214,17.688,0.469,1.52
ID68370,68370,0,49.38,457.216,696.507,0,30242.205,63,15,1,-10921639,7340.523,7025,2574,13296,9638107,2958.042,17.548,0.474,1.596
ID68396,68396,0,52.411,463.092,690.066,0,30722.24,64,15,1,-10921639,7558.02,6992,2794,13931,9923680,3089.256,17.37,0.487,1.604
ID68498,68498,0,50.584,461.548,689.568,0,31202.275,65,15,1,-10921639,7529.925,7269,2872,12982,9886791,2866.263,17.798,0.48,1.705
ID68473,68473,0,49.4,459.585,690.267,0,31682.31,66,15,1,-10921639,7484.002,7360,2954,12985,9826494,2705.937,18.193,0.477,1.787
ID68523,68523,0,48.461,457.197,691.146,0,32162.345,67,15,1,-10921639,7429.076,7325,2775,12757,9754377,2622.394,18.305,0.474,1.823
ID68724,68724,0,48.418,455.017,691.435,0,32642.38,68,15,1,-10921639,7430.547,7328,2519,12591,9756308,2686.387,18.003,0.472,1.773
ID68548,68548,0,49.151,452.739,691.95,0,33122.415,69,15,1,-10921639,7398.625,7150,2603,12966,9714395,2894.372,17.708,0.472,1.639
ID68698,68698,0,49.713,448.948,692.368,0,33602.45,70,15,1,-10921639,7414.415,7084,2334,14110,9735127,3031.973,17.511,0.474,1.572
ID68573,68573,0,51.088,447.92,691.181,0,34082.485,71,15,1,-10921639,7481.804,7011,2539,14116,9823608,3246.067,17.484,0.476,1.487
ID68598,68598,0,50.837,447.762,690.375,0,34562.52,72,15,1,-10921639,7478.121,7042,2573,13838,9818773,3186.955,17.443,0.476,1.513
ID68623,68623,0,50.094,445.716,689.939,0,35042.555,73,15,1,-10921639,7460.363,7142,2539,14539,9795457,3181.996,17.633,0.472,1.503
ID68648,68648,0,49.338,444.57,688.569,0,35522.59,74,15,1,-10921639,7435.698,7113,2534,13533,9763072,3086.714,17.755,0.472,1.544
ID68673,68673,0,50.472,443.454,687.295,0,36002.625,75,15,1,-10921639,7475.135,7170,2521,14205,9814852,3195.196,17.633,0.474,1.505
ID68799,68799,0,50.981,441.632,686.805,0,36482.66,76,15,1,-10921639,7507.728,7158,2541,14193,9857647,3232.64,17.471,0.478,1.501
ID68774,68774,0,51.829,441.952,685.992,0,36962.695,77,15,1,-10921639,7535.746,7040,2406,14617,9894435,3348.144,17.175,0.48,1.459
ID68824,68824,0,52.35,440.595,686.139,0,37442.73,78,15,1,-10921639,7547.593,7029,2486,14597,9909990,3479.012,16.858,0.482,1.411
ID68749,68749,0,52.328,439.516,686.083,0,37922.765,79,15,1,-10921639,7561.216,7107,2398,14582,9927876,3436.367,17.168,0.483,1.433
ID68849,68849,0,52.731,439.765,685.163,0,38402.8,80,15,1,-10921639,7600.858,7140,2569,14506,9979927,3438.693,17.3,0.485,1.444
ID68873,68873,0,52.504,440.436,684.862,0,38882.835,81,15,1,-10921639,7628.532,7229,2536,14843,10016263,3300.793,17.397,0.487,1.513
ID68897,68897,0,52.256,439.78,684.744,0,39362.87,82,15,1,-10921639,7665.477,7381,2652,13967,10064771,3185.562,17.457,0.487,1.575
ID68967,68967,0,52.718,439.427,684.54,0,39842.905,83,15,1,-10921639,7709.771,7549,2678,14109,10122929,3144.105,17.652,0.491,1.616
ID68920,68920,0,52.668,439.311,684.306,0,40322.94,84,15,1,-10921639,7749.396,7516,2770,14010,10174957,3110.106,17.597,0.49,1.639
ID68944,68944,0,52.997,439.695,683.484,0,40802.975,85,15,1,-10921639,7769.535,7495,2582,13801,10201400,3113.764,17.583,0.493,1.648
ID69014,69014,0,53.245,438.883,683.054,0,41283.01,86,15,1,-10921639,7843.187,7628,2794,14181,10298105,3123.483,17.722,0.493,1.659
ID68991,68991,0,53.68,437.748,682.875,0,41763.045,87,15,1,-10921639,7840.938,7600,2611,13872,10295152,3197.894,17.724,0.496,1.625
ID69062,69062,0,53.953,437.596,682.468,0,42243.08,88,15,1,-10921639,7890.318,7659,2652,14398,10359988,3182.288,17.858,0.495,1.642
