Label,ID,Track ID,Quality,Position X ,Position Y,Position Z,Position T,Frame,Radius,Visibility,Manual Colour,Mean intensity,Median intensity ,Min Intensity,Max intensity,Total intensity,StD,Estimated diameter,Contrast,SNR
ID104771,104771,0,27.299,188.155,100.535,0,0,0,15,1,-10921639,5889.054,4778,3522,13076,7732328,2399.434,10.487,0.2,0.819
ID104773,104773,0,43.94,139.546,145.209,0,0,0,15,1,-10921639,6849.614,4936,3298,16154,8993543,3908.901,11.231,0.312,0.833
ID104727,104727,0,25.81,187.894,101.033,0,480.022,1,15,1,-10921639,5813.153,4808,3529,11909,7632670,2138.774,11.855,0.198,0.897
ID104729,104729,0,44.174,138.679,148.263,0,480.022,1,15,1,-10921639,6868.548,4967,3287,16107,9018403,3859.123,11.098,0.316,0.855
ID104590,104590,0,26.109,186.824,102.419,0,960.044,2,15,1,-10921639,5753.934,4691,3388,12574,7554915,2269.6,10.403,0.197,0.834
ID104592,104592,0,44.514,141.454,150.676,0,960.044,2,15,1,-10921639,6881.216,5042,3184,16176,9035036,3908.63,11.16,0.318,0.85
ID104836,104836,0,24.889,188.022,101.024,0,1440.066,3,15,1,-10921639,5762.116,4861,3555,11635,7565658,2024.439,12.83,0.196,0.934
ID104838,104838,0,45.139,143.301,151.763,0,1440.066,3,15,1,-10921639,6933.886,4973,3177,16319,9104192,3993.393,11.258,0.32,0.841
ID104656,104656,0,25.264,189.669,101.803,0,1920.088,4,15,1,-10921639,5762.468,4808,3561,12118,7566121,2142.879,10.985,0.196,0.881
ID104658,104658,0,45.441,140.764,153.669,0,1920.088,4,15,1,-10921639,6965.704,4981,3270,16228,9145970,3970.803,11.545,0.324,0.859
ID104634,104634,0,25.329,189.466,100.568,0,2400.11,5,15,1,-10921639,5754.592,4752,3614,12874,7555779,2186.636,10.205,0.196,0.861
ID104636,104636,0,45.595,139.102,156.76,0,2400.11,5,15,1,-10921639,6963.283,5000,3164,16290,9142790,3966.224,11.579,0.327,0.866
ID104569,104569,0,25.093,187.729,102.735,0,2880.132,6,15,1,-10921639,5736.459,4770,3507,12051,7531971,2155.737,10.625,0.198,0.88
ID104571,104571,0,45.454,138.515,159.815,0,2880.132,6,15,1,-10921639,6910.544,4998,3286,16318,9073544,3989.18,11.47,0.328,0.855
ID104678,104678,0,25.298,187.584,104.056,0,3360.154,7,15,1,-10921639,5753.605,4773,3438,12494,7554484,2174.54,10.624,0.202,0.89
ID104680,104680,0,45.646,140.542,161.616,0,3360.154,7,15,1,-10921639,6944.129,5022,3099,16333,9117642,3982.107,11.631,0.329,0.863
ID104860,104860,0,24.944,186.979,106.144,0,3840.176,8,15,1,-10921639,5689.548,4688,3474,12593,7470377,2194.489,10.289,0.2,0.864
ID104862,104862,0,44.663,144.946,164.22,0,3840.176,8,15,1,-10921639,6948.187,5036,3133,16321,9122969,3987.391,11.602,0.317,0.838
ID104612,104612,0,25.08,187.781,105.931,0,4320.198,9,15,1,-10921639,5698.651,4763,3269,12483,7482329,2163.326,11.824,0.203,0.889
ID104614,104614,0,45.163,144.042,165.907,0,4320.198,9,15,1,-10921639,6938.833,5046,3136,16161,9110688,3917.46,11.749,0.329,0.877
ID104705,104705,0,43.873,134.014,169.261,0,4800.22,10,15,1,-10921639,6880.931,5050,3101,16193,9034662,3957.341,11.443,0.297,0.797
ID104703,104703,0,25.536,185.89,108.736,0,4800.22,10,15,1,-10921639,5706.133,4710,3361,12583,7492152,2194.811,10.358,0.204,0.88
ID104793,104793,0,24.902,186.825,108.469,0,5280.242,11,15,1,-10921639,5685.852,4725,3264,11699,7465524,2088.636,13.528,0.203,0.92
ID104795,104795,0,43.684,133.067,171.094,0,5280.242,11,15,1,-10921639,6853.655,5040,3092,15888,8998849,3815.431,11.89,0.309,0.849
ID104885,104885,0,24.86,189.288,106.372,0,5760.264,12,15,1,-10921639,5687.198,4688,3381,12010,7467291,2153.24,12.651,0.203,0.891
ID104887,104887,0,43.808,134.413,175.479,0,5760.264,12,15,1,-10921639,6817.988,4970,3091,15894,8952018,3818.215,11.828,0.318,0.861
ID104910,104910,0,24.816,189.508,105.616,0,6240.286,13,15,1,-10921639,5661.508,4729,3434,12029,7433560,2128.301,10.337,0.204,0.9
ID104912,104912,0,43.043,137.011,177.454,0,6240.286,13,15,1,-10921639,6808.997,4994,3194,15870,8940213,3729.867,12.194,0.306,0.856
ID104953,104953,0,24.485,189.736,102.617,0,6720.308,14,15,1,-10921639,5670.942,4794,3437,11679,7445947,2073.162,11.597,0.202,0.918
ID104955,104955,0,44.466,142.141,177.242,0,6720.308,14,15,1,-10921639,6877.513,5079,3116,15816,9030175,3768.246,12.289,0.326,0.898
ID104815,104815,0,24.865,189.938,102.311,0,7200.33,15,15,1,-10921639,5688.37,4779,3380,11957,7468830,2127.52,10.488,0.204,0.904
ID104817,104817,0,44.09,142.651,176.345,0,7200.33,15,15,1,-10921639,6835.097,5047,3133,15916,8974482,3738.36,12.339,0.327,0.901
ID104932,104932,0,24.587,189.578,102.536,0,7680.352,16,15,1,-10921639,5657.645,4734,3327,11391,7428488,2038.448,11.275,0.204,0.94
ID104934,104934,0,44.112,136.856,179.035,0,7680.352,16,15,1,-10921639,6710.492,4909,3194,15946,8810876,3783.713,12.03,0.332,0.884
ID104975,104975,0,24.701,187.267,103.222,0,8160.374,17,15,1,-10921639,5672.126,4791,3285,11092,7447501,2027.571,12.44,0.205,0.953
ID104977,104977,0,43.713,133.021,181.814,0,8160.374,17,15,1,-10921639,6649.32,4834,2908,15892,8730557,3745.989,11.587,0.331,0.883
ID104997,104997,0,24.654,187.925,104.27,0,8640.396,18,15,1,-10921639,5658.991,4769,3412,11215,7430255,2046.29,11.898,0.204,0.938
ID104999,104999,0,43.41,133.854,183.818,0,8640.396,18,15,1,-10921639,6662.669,4912,3125,15786,8748085,3619.456,12.25,0.33,0.913
ID104751,104751,0,25.826,182.398,110.829,0,9120.418,19,15,1,-10921639,5631.557,4610,3305,12347,7394234,2233.378,10.475,0.208,0.867
ID104753,104753,0,43.426,130.992,186.296,0,9120.418,19,15,1,-10921639,6628.465,4923,3093,15755,8703174,3597.659,12.592,0.333,0.921
ID105019,105019,0,24.64,182.785,111.974,0,9600.44,20,15,1,-10921639,5619.388,4678,3263,11554,7378257,2062.801,10.45,0.206,0.929
ID105021,105021,0,43.291,127.887,187.601,0,9600.44,20,15,1,-10921639,6596.527,4822,3010,15894,8661240,3603.089,12.412,0.332,0.914
ID105062,105062,0,25.626,181.024,115.605,0,10080.462,21,15,1,-10921639,5606.925,4599,3251,12201,7361893,2236.836,11.057,0.207,0.861
ID105064,105064,0,43.286,126.134,187.337,0,10080.462,21,15,1,-10921639,6569.163,4781,3159,15939,8625311,3646.626,12.019,0.332,0.898
ID105170,105170,0,25.341,178.583,119.719,0,10560.484,22,15,1,-10921639,5555.263,4558,3223,12215,7294060,2184.222,11.709,0.207,0.873
ID105172,105172,0,44.374,120.971,184.917,0,10560.484,22,15,1,-10921639,6540.437,4636,3025,16010,8587594,3894.9,11.297,0.334,0.842
ID105041,105041,0,25.173,182.389,114.601,0,11040.506,23,15,1,-10921639,5591.963,4641,3335,12313,7342247,2142.972,10.476,0.206,0.892
ID105043,105043,0,43.24,120.196,181.115,0,11040.506,23,15,1,-10921639,6499.257,4633,2970,16122,8533524,3864.316,10.812,0.325,0.825
ID105106,105106,0,25.625,180.026,118.99,0,11520.528,24,15,1,-10921639,5534.41,4494,3307,12678,7266680,2303.388,10.087,0.205,0.819
ID105108,105108,0,42.711,124.551,179.717,0,11520.528,24,15,1,-10921639,6508.206,4613,3003,16072,8545274,3863.931,10.625,0.315,0.807
ID105128,105128,0,24.958,182.216,117.851,0,12000.55,25,15,1,-10921639,5506.943,4534,3206,11779,7230616,2174.643,10.255,0.202,0.851
ID105130,105130,0,42.358,126.163,180.495,0,12000.55,25,15,1,-10921639,6478.674,4664,3021,15865,8506499,3716.243,11.693,0.323,0.852
ID105085,105085,0,25.834,176.16,129.153,0,12480.572,26,15,1,-10921639,5483.411,4448,3226,12552,7199719,2307.898,10.091,0.207,0.816
ID105087,105087,0,40.277,126.654,181.467,0,12480.572,26,15,1,-10921639,6432.343,4710,2944,15842,8445667,3572.414,11.888,0.297,0.824
ID105149,105149,0,26.226,171.621,137.096,0,12960.594,27,15,1,-10921639,5457.717,4408,3142,13069,7165982,2331.203,10.453,0.211,0.816
ID105151,105151,0,39.64,124.601,179.419,0,12960.594,27,15,1,-10921639,6388.778,4760,2878,15782,8388465,3495.912,12.06,0.294,0.83
ID105192,105192,0,30.831,164.581,139.746,0,13440.616,28,15,1,-10921639,5555.865,4062,3071,15985,7294851,3207.982,9.535,0.225,0.635
